DESCRIZIONE2,COUNTRY,Delta Ordini,Numero Macchine
"RAISED RIB S0900 L046,5 T",UKRAINE,112736.0,92.0
RAISED RIB S0900 L037 T,UKRAINE,64040.0,92.0
RAISED RIB S0900 L055 T,UKRAINE,64008.0,92.0
RAISED RIB S0900 L029 T,UNITED ARAB EMIRATES,57944.0,64.0
RAISED RIB S0900 L037 T,UNITED ARAB EMIRATES,24414.48875,64.0
RAISED RIB S0900 L055 T,UNITED ARAB EMIRATES,6096.0,64.0
RAISED RIB S0900 L029 T,UNITED KINGDOM,109906.70406250001,149.0
RAISED RIB S0900 L037 T,UNITED KINGDOM,91517.73093749999,149.0
"RAISED RIB S0900 L046,5 T",UNITED KINGDOM,18333.7265625,149.0
OR 9x4 70SH SILICONE,URUGUAY,150.0,9.0
"Al Ře41,6 L67,2",URUGUAY,82.0,9.0
QIR 400V 2500W/ZD5,URUGUAY,61.0,9.0
RAISED RIB S0900 L037 T,USA,808450.8215625,261.0
"RAISED RIB S0900 L046,5 T",USA,280431.2465625,261.0
RAISED RIB S0900 L029 T,USA,198320.43062500004,261.0
RAISED RIB S0900 L037 T,UZBEKISTAN,3048.0,63.0
TRIGLASS 13x8 L684,UZBEKISTAN,600.0,63.0
TRIGLASS 13x8 L754,UZBEKISTAN,550.0,63.0
RAISED RIB S0900 L037 T,VENEZUELA,12192.0,36.0
RAISED RIB S0900 L055 T,VENEZUELA,6096.0,36.0
TRIGLASS 13x8 L684,VENEZUELA,3750.0,36.0
RAISED RIB S0900 L029 T,VIETNAM,506235.90125,110.0
RAISED RIB S0900 L037 T,VIETNAM,298936.874375,110.0
FLAT TOP S1000 L29,VIETNAM,48768.0,110.0
TRIGLASS 13x8 L684,YEMEN,5350.0,58.0
M04x008 ISO7380 AISI304 Classe A2-70,YEMEN,1630.0,58.0
MONOCANALE 1mm GUAINA EST. PVC RAL4001,YEMEN,1400.0,58.0
RAISED RIB S0900 L037 T,ZAMBIA,12192.0,6.0
RAISED RIB S0900 L029 T,ZAMBIA,12192.0,6.0
12x28x12 63001 2RS,ZAMBIA,1616.0,6.0
TRIGLASS 13x8 L684,ZIMBABWE,3100.0,4.0
TRIGLASS 13x8 L720,ZIMBABWE,150.0,4.0
ANTISCIVOLO L130,ZIMBABWE,138.0,4.0
