COUNTRY,Delta
MEXICO,2582973.790458984
CHINA,2570040.35390625
USA,1583860.60265625
Brazil,1254860.098203125
EGYPT,1212061.1664648438
VIETNAM,983924.9068359375
RUSSIAN FEDERATION,924315.703828125
MALAYSIA,851554.0432405395
Indonesia,811629.8953125
Spain,752395.2968359375
